,complexity,loss,score,equation,sympy_format,lambda_format
14,15,0.328119755,0.035988684,(((14.544428645766274 * sin(Al)) + exp(sin((Cr / -0.07025225110843257) - sqrt(Al)))) + 0.44146696141061653),14.544428645766274*sin(Al) + 0.44146696141061653 + exp(-sin(sqrt(Al) + 14.2344193135751*Cr)),PySRFunction(X=>14.544428645766274*sin(Al) + 0.44146696141061653 + exp(-sin(sqrt(Al) + 14.2344193135751*Cr)))
15,16,0.315675751,0.038663068,(((14.544428645766274 * sin(Al)) + exp(sin(((Cr / -0.07025225110843257) - Al) - Al))) + 0.44146696141061653),14.544428645766274*sin(Al) + 0.44146696141061653 + exp(-sin(2*Al + 14.2344193135751*Cr)),PySRFunction(X=>14.544428645766274*sin(Al) + 0.44146696141061653 + exp(-sin(2*Al + 14.2344193135751*Cr)))
16,17,0.315045598,0.001998199,(((14.544428645766274 * sin(Al)) + exp(sin(((Cr / -0.07025225110843257) - sin(Al)) - Al))) + 0.44146696141061653),14.544428645766274*sin(Al) + 0.44146696141061653 + exp(-sin(Al + 14.2344193135751*Cr + sin(Al))),PySRFunction(X=>14.544428645766274*sin(Al) + 0.44146696141061653 + exp(-sin(Al + 14.2344193135751*Cr + sin(Al))))
17,19,0.272638754,0.072284855,((4.974996772298727 ^ (sin((cube(cos((cube(Ni) ^ Al) - Cu)) - Cu) + Cr) + Al)) - 0.42339064703747614),4.974996772298727**(Al + sin(Cr - Cu + cos(Cu - (Ni**3)**Al)**3)) - 0.42339064703747614,PySRFunction(X=>4.974996772298727**(Al + sin(Cr - Cu + cos(Cu - (Ni**3)**Al)**3)) - 0.42339064703747614)
18,20,0.258806839,0.052065687,((4.974996772298727 ^ (sin((cube(cos((cube(Ni) ^ Al) - Cu)) - Cu) + Cr) + sin(Al))) - 0.42339064703747614),4.974996772298727**(sin(Al) + sin(Cr - Cu + cos(Cu - (Ni**3)**Al)**3)) - 0.42339064703747614,PySRFunction(X=>4.974996772298727**(sin(Al) + sin(Cr - Cu + cos(Cu - (Ni**3)**Al)**3)) - 0.42339064703747614)
19,21,0.257599612,0.004675497,((4.974996772298727 ^ (sin((cube(cos((cube(Ni) ^ Al) - Cu)) - Cu) + sin(Cr)) + sin(Al))) - 0.42339064703747614),4.974996772298727**(sin(Al) + sin(-Cu + sin(Cr) + cos(Cu - (Ni**3)**Al)**3)) - 0.42339064703747614,PySRFunction(X=>4.974996772298727**(sin(Al) + sin(-Cu + sin(Cr) + cos(Cu - (Ni**3)**Al)**3)) - 0.42339064703747614)
20,22,0.239654922,0.072206426,(((4.974996772298727 ^ (sin((cube(cos((cube(Ni) ^ Al) - Cu)) - Cu) + Cr) + sin(Al))) - Cr) - Co),4.974996772298727**(sin(Al) + sin(Cr - Cu + cos(Cu - (Ni**3)**Al)**3)) - Co - Cr,PySRFunction(X=>4.974996772298727**(sin(Al) + sin(Cr - Cu + cos(Cu - (Ni**3)**Al)**3)) - Co - Cr)
21,23,0.173905364,0.320688799,((4.974996772298727 ^ (sin(cube(cube(cos((cube(cube(Ni)) ^ (Al * (0.6935877924222502 - Co))) - Cu))) - Cu) + Al)) + 0.6935877924222502),4.974996772298727**(Al - sin(Cu - cos(Cu - (Ni**9)**(Al*(0.6935877924222502 - Co)))**9)) + 0.6935877924222502,PySRFunction(X=>4.974996772298727**(Al - sin(Cu - cos(Cu - (Ni**9)**(Al*(0.6935877924222502 - Co)))**9)) + 0.6935877924222502)
22,24,0.170449433,0.02007259,((4.974996772298727 ^ (sin(cube(cube(cos((cube(cube(Ni)) ^ (Al * (0.6935877924222502 - Co))) - Cu))) - Cu) + sin(Al))) + 0.6935877924222502),4.974996772298727**(sin(Al) - sin(Cu - cos(Cu - (Ni**9)**(Al*(0.6935877924222502 - Co)))**9)) + 0.6935877924222502,PySRFunction(X=>4.974996772298727**(sin(Al) - sin(Cu - cos(Cu - (Ni**9)**(Al*(0.6935877924222502 - Co)))**9)) + 0.6935877924222502)
23,25,0.164275951,0.036891031,((4.974996772298727 ^ (sin(cube(cos(((cube(cube(Ni)) ^ (Al * (0.6935877924222502 - Co))) - Cu) * 1.7613601139805264)) - Cu) + sin(Al))) + 0.6935877924222502),4.974996772298727**(sin(Al) - sin(Cu - cos(1.7613601139805264*Cu - 1.7613601139805264*(Ni**9)**(Al*(0.6935877924222502 - Co)))**3)) + 0.6935877924222502,PySRFunction(X=>4.974996772298727**(sin(Al) - sin(Cu - cos(1.7613601139805264*Cu - 1.7613601139805264*(Ni**9)**(Al*(0.6935877924222502 - Co)))**3)) + 0.6935877924222502)
